evaluation,episode,timestep,epsilon,agent1_return_mean,agent1_return_std,agent2_return_mean,agent2_return_std,agent1_q_cooperate,agent1_q_defect,agent2_q_cooperate,agent2_q_defect,agent1_greedy_action,agent2_greedy_action
1,400,400,0.97525,1.028,0.539644,1.128,0.758694,1.161749,2.719466,1.286172,2.876082,Defect,Defect
2,800,800,0.9505,1.068,0.58256,1.048,0.53075,1.257372,2.797415,1.362253,3.005198,Defect,Defect
3,1200,1200,0.92575,1.076,0.63105,1.056,0.583836,1.338479,2.966011,1.252276,2.814386,Defect,Defect
4,1600,1600,0.901,1.086,0.683084,1.076,0.661985,1.107423,2.7347,1.364138,2.926355,Defect,Defect
5,2000,2000,0.87625,1.046,0.558466,1.086,0.653149,1.399321,2.902493,1.392091,2.912021,Defect,Defect
6,2400,2400,0.8515,1.124,0.735271,1.014,0.475188,1.874378,2.559471,1.560532,2.12767,Defect,Defect
7,2800,2800,0.82675,1.064,0.641797,1.104,0.724696,1.091501,2.69793,1.129349,2.82304,Defect,Defect
8,3200,3200,0.802,1.078,0.629219,1.048,0.556503,1.254081,2.41605,1.339903,2.545023,Defect,Defect
9,3600,3600,0.77725,1.096,0.703409,1.066,0.640034,0.777604,2.382208,0.792378,2.513053,Defect,Defect
10,4000,4000,0.7525,1.022,0.479078,1.112,0.69818,1.279246,3.169555,1.149147,2.9613,Defect,Defect
11,4400,4400,0.72775,1.114,0.743642,1.054,0.618938,1.197952,2.843032,1.002495,2.521437,Defect,Defect
12,4800,4800,0.703,1.062,0.58835,1.072,0.612222,1.257116,2.136701,1.005875,1.903555,Defect,Defect
13,5200,5200,0.67825,1.072,0.634678,1.072,0.634678,1.12959,2.731408,1.037533,2.565809,Defect,Defect
14,5600,5600,0.6535,1.028,0.45521,1.098,0.639059,1.160219,2.595422,1.058481,2.427326,Defect,Defect
15,6000,6000,0.62875,1.136,0.785814,1.046,0.603228,0.947337,2.365192,1.209802,2.748435,Defect,Defect
16,6400,6400,0.604,1.12,0.727736,1.04,0.549909,0.710169,2.537827,0.654575,2.164138,Defect,Defect
17,6800,6800,0.57925,1.082,0.63504,1.052,0.56329,0.893225,2.474745,0.734777,1.95998,Defect,Defect
18,7200,7200,0.5545,1.034,0.544834,1.124,0.743387,0.701312,2.005306,0.667247,2.134575,Defect,Defect
19,7600,7600,0.52975,1.154,0.821148,1.034,0.580383,0.902978,1.851913,0.818442,1.774578,Defect,Defect
20,8000,8000,0.505,1.076,0.63105,1.056,0.583836,1.07361,2.239098,0.962818,1.87701,Defect,Defect
21,8400,8400,0.48025,1.04,0.564269,1.11,0.719653,0.884367,1.642525,0.968722,1.86587,Defect,Defect
22,8800,8800,0.4555,1.086,0.653149,1.046,0.558466,0.892819,2.42953,0.57906,1.459967,Defect,Defect
23,9200,9200,0.43075,1.114,0.716243,1.024,0.505395,0.899327,2.176604,0.781679,1.888534,Defect,Defect
24,9600,9600,0.406,1.074,0.600437,1.034,0.494817,0.472138,2.081308,0.37099,2.153699,Defect,Defect
25,10000,10000,0.38125,1.126,0.760345,1.036,0.56807,0.505594,1.923871,0.385844,1.582757,Defect,Defect
26,10400,10400,0.3565,1.042,0.562349,1.102,0.698281,0.229208,1.401594,0.332751,1.628005,Defect,Defect
27,10800,10800,0.33175,1.116,0.714524,1.016,0.473016,0.578853,1.726175,0.516954,1.440886,Defect,Defect
28,11200,11200,0.307,1.088,0.681363,1.068,0.63826,0.097483,2.337752,0.111956,1.904709,Defect,Defect
29,11600,11600,0.28225,1.06,0.58,1.06,0.58,0.576335,1.637374,0.488841,1.452755,Defect,Defect
30,12000,12000,0.2575,1.078,0.660239,1.078,0.660239,0.286258,1.373186,0.265392,1.621428,Defect,Defect
31,12400,12400,0.23275,1.066,0.670555,1.126,0.786209,0.327548,1.558098,0.266622,1.555479,Defect,Defect
32,12800,12800,0.208,1.088,0.681363,1.068,0.63826,0.06345,1.356995,0.044282,1.804505,Defect,Defect
33,13200,13200,0.18325,1.104,0.724696,1.064,0.641797,0.146452,1.294661,0.124596,1.22752,Defect,Defect
34,13600,13600,0.1585,1.06,0.58,1.06,0.58,0.360358,1.217594,0.296531,1.051783,Defect,Defect
35,14000,14000,0.13375,1.05,0.589491,1.1,0.7,0.07348,1.165269,0.106302,1.303723,Defect,Defect
36,14400,14400,0.109,1.068,0.615935,1.078,0.638683,0.027728,1.041743,0.040113,1.091695,Defect,Defect
37,14800,14800,0.08425,1.048,0.567183,1.098,0.681466,0.130698,1.033605,0.11465,1.046445,Defect,Defect
38,15200,15200,0.0595,1.068,0.668862,1.118,0.766861,0.137553,1.148849,0.108259,1.114956,Defect,Defect
39,15600,15600,0.03475,1.076,0.640487,1.076,0.640487,0.187108,1.004343,0.148309,1.16357,Defect,Defect
40,16000,16000,0.01,1.082,0.625521,1.032,0.496967,0.168865,1.005517,0.127157,1.000002,Defect,Defect
41,16400,16400,0.01,1.104,0.713571,1.074,0.651555,0.144781,1.000113,0.114759,1.000005,Defect,Defect
42,16800,16800,0.01,1.106,0.723024,1.056,0.617142,0.130665,1.000001,0.10357,1.010663,Defect,Defect
43,17200,17200,0.01,1.04,0.527636,1.08,0.627375,0.117925,1.0,0.10357,1.00013,Defect,Defect
44,17600,17600,0.01,1.094,0.705099,1.074,0.66372,0.117925,1.000118,0.093472,1.0,Defect,Defect
45,18000,18000,0.01,1.142,0.806124,1.052,0.630314,0.096051,1.00083,0.076133,1.000081,Defect,Defect
46,18400,18400,0.01,1.026,0.46187,1.076,0.598518,0.086686,1.0,0.076133,1.002556,Defect,Defect
47,18800,18800,0.01,1.022,0.466386,1.092,0.647716,0.078234,1.0,0.072327,1.000254,Defect,Defect
48,19200,19200,0.01,1.094,0.705099,1.074,0.66372,0.063722,1.001818,0.065275,1.049456,Defect,Defect
49,19600,19600,0.01,1.106,0.703395,1.046,0.569108,0.057509,1.017052,0.062011,1.000001,Defect,Defect
