schedule,evaluation,episode,epsilon,agent1_return_mean,agent2_return_mean,agent1_q_cooperate,agent1_q_defect,agent2_q_cooperate,agent2_q_defect
linear,1,400,0.97525,1.028,1.128,1.161749,2.719466,1.286172,2.876082
linear,2,800,0.9505,1.068,1.048,1.257372,2.797415,1.362253,3.005198
linear,3,1200,0.92575,1.076,1.056,1.338479,2.966011,1.252276,2.814386
linear,4,1600,0.901,1.086,1.076,1.107423,2.7347,1.364138,2.926355
linear,5,2000,0.87625,1.046,1.086,1.399321,2.902493,1.392091,2.912021
linear,6,2400,0.8515,1.124,1.014,1.874378,2.559471,1.560532,2.12767
linear,7,2800,0.82675,1.064,1.104,1.091501,2.69793,1.129349,2.82304
linear,8,3200,0.802,1.078,1.048,1.254081,2.41605,1.339903,2.545023
linear,9,3600,0.77725,1.096,1.066,0.777604,2.382208,0.792378,2.513053
linear,10,4000,0.7525,1.022,1.112,1.279246,3.169555,1.149147,2.9613
linear,11,4400,0.72775,1.114,1.054,1.197952,2.843032,1.002495,2.521437
linear,12,4800,0.703,1.062,1.072,1.257116,2.136701,1.005875,1.903555
linear,13,5200,0.67825,1.072,1.072,1.12959,2.731408,1.037533,2.565809
linear,14,5600,0.6535,1.028,1.098,1.160219,2.595422,1.058481,2.427326
linear,15,6000,0.62875,1.136,1.046,0.947337,2.365192,1.209802,2.748435
linear,16,6400,0.604,1.12,1.04,0.710169,2.537827,0.654575,2.164138
linear,17,6800,0.57925,1.082,1.052,0.893225,2.474745,0.734777,1.95998
linear,18,7200,0.5545,1.034,1.124,0.701312,2.005306,0.667247,2.134575
linear,19,7600,0.52975,1.154,1.034,0.902978,1.851913,0.818442,1.774578
linear,20,8000,0.505,1.076,1.056,1.07361,2.239098,0.962818,1.87701
linear,21,8400,0.48025,1.04,1.11,0.884367,1.642525,0.968722,1.86587
linear,22,8800,0.4555,1.086,1.046,0.892819,2.42953,0.57906,1.459967
linear,23,9200,0.43075,1.114,1.024,0.899327,2.176604,0.781679,1.888534
linear,24,9600,0.406,1.074,1.034,0.472138,2.081308,0.37099,2.153699
linear,25,10000,0.38125,1.126,1.036,0.505594,1.923871,0.385844,1.582757
linear,26,10400,0.3565,1.042,1.102,0.229208,1.401594,0.332751,1.628005
linear,27,10800,0.33175,1.116,1.016,0.578853,1.726175,0.516954,1.440886
linear,28,11200,0.307,1.088,1.068,0.097483,2.337752,0.111956,1.904709
linear,29,11600,0.28225,1.06,1.06,0.576335,1.637374,0.488841,1.452755
linear,30,12000,0.2575,1.078,1.078,0.286258,1.373186,0.265392,1.621428
linear,31,12400,0.23275,1.066,1.126,0.327548,1.558098,0.266622,1.555479
linear,32,12800,0.208,1.088,1.068,0.06345,1.356995,0.044282,1.804505
linear,33,13200,0.18325,1.104,1.064,0.146452,1.294661,0.124596,1.22752
linear,34,13600,0.1585,1.06,1.06,0.360358,1.217594,0.296531,1.051783
linear,35,14000,0.13375,1.05,1.1,0.07348,1.165269,0.106302,1.303723
linear,36,14400,0.109,1.068,1.078,0.027728,1.041743,0.040113,1.091695
linear,37,14800,0.08425,1.048,1.098,0.130698,1.033605,0.11465,1.046445
linear,38,15200,0.0595,1.068,1.118,0.137553,1.148849,0.108259,1.114956
linear,39,15600,0.03475,1.076,1.076,0.187108,1.004343,0.148309,1.16357
linear,40,16000,0.01,1.082,1.032,0.168865,1.005517,0.127157,1.000002
linear,41,16400,0.01,1.104,1.074,0.144781,1.000113,0.114759,1.000005
linear,42,16800,0.01,1.106,1.056,0.130665,1.000001,0.10357,1.010663
linear,43,17200,0.01,1.04,1.08,0.117925,1.0,0.10357,1.00013
linear,44,17600,0.01,1.094,1.074,0.117925,1.000118,0.093472,1.0
linear,45,18000,0.01,1.142,1.052,0.096051,1.00083,0.076133,1.000081
linear,46,18400,0.01,1.026,1.076,0.086686,1.0,0.076133,1.002556
linear,47,18800,0.01,1.022,1.092,0.078234,1.0,0.072327,1.000254
linear,48,19200,0.01,1.094,1.074,0.063722,1.001818,0.065275,1.049456
linear,49,19600,0.01,1.106,1.046,0.057509,1.017052,0.062011,1.000001
exponential,1,400,0.891251,1.028,1.128,1.068603,2.550241,1.084506,2.537122
exponential,2,800,0.794328,1.068,1.048,1.278753,2.20645,1.38333,2.451222
exponential,3,1200,0.707946,1.076,1.056,0.930344,2.706941,0.799714,2.391909
exponential,4,1600,0.630957,1.086,1.076,0.600883,1.647622,1.106629,2.120679
exponential,5,2000,0.562341,1.046,1.086,1.019028,2.400162,1.166273,2.754118
exponential,6,2400,0.501187,1.124,1.014,0.952272,2.202356,0.683636,1.429725
exponential,7,2800,0.446684,1.064,1.104,0.615997,1.796815,0.707947,1.878853
exponential,8,3200,0.398107,1.078,1.048,0.33742,1.890258,0.401849,2.171662
exponential,9,3600,0.354813,1.096,1.066,0.422458,1.565969,0.385834,1.67931
exponential,10,4000,0.316228,1.022,1.112,0.729781,1.783403,0.61945,1.608828
exponential,11,4400,0.281838,1.114,1.054,0.528409,1.722765,0.53331,1.582283
exponential,12,4800,0.251189,1.062,1.072,0.422203,1.509823,0.243207,1.140518
exponential,13,5200,0.223872,1.072,1.072,0.424027,1.859524,0.40375,1.291781
exponential,14,5600,0.199526,1.028,1.098,0.346257,1.536844,0.389643,1.497285
exponential,15,6000,0.177828,1.136,1.046,0.433576,1.199184,0.880016,1.622842
exponential,16,6400,0.158489,1.12,1.04,0.284655,1.520542,0.278889,1.0985
exponential,17,6800,0.141254,1.082,1.052,0.380435,1.22922,0.329099,1.22796
exponential,18,7200,0.125893,1.034,1.124,0.262249,1.462821,0.317197,1.601215
exponential,19,7600,0.112202,1.154,1.034,0.562362,1.053138,0.616282,1.089824
exponential,20,8000,0.1,1.076,1.056,0.388497,1.454526,0.416256,1.022599
exponential,21,8400,0.089125,1.04,1.11,0.197576,1.08825,0.259365,1.12503
exponential,22,8800,0.079433,1.086,1.046,0.067287,1.357237,0.114153,1.014816
exponential,23,9200,0.070795,1.114,1.024,0.026727,1.040215,0.075732,1.103194
exponential,24,9600,0.063096,1.074,1.034,0.015202,1.152165,0.030082,1.039531
exponential,25,10000,0.056234,1.126,1.036,0.009581,1.060048,0.01711,1.037394
exponential,26,10400,0.050119,1.042,1.102,0.004919,1.135281,0.011351,1.033558
exponential,27,10800,0.044668,1.116,1.016,0.0031,1.000207,0.007154,1.153597
exponential,28,11200,0.039811,1.088,1.068,0.001856,1.055134,0.005536,1.065217
exponential,29,11600,0.035481,1.06,1.06,0.143936,1.038759,0.132279,1.00006
exponential,30,12000,0.031623,1.078,1.078,0.129902,1.000017,0.113413,1.0
exponential,31,12400,0.028184,1.066,1.126,0.090716,1.005044,0.083369,1.040802
exponential,32,12800,0.025119,1.088,1.068,0.077777,1.0,0.07524,1.000355
exponential,33,13200,0.022387,1.104,1.064,0.060183,1.002343,0.061284,1.000645
exponential,34,13600,0.019953,1.06,1.06,0.04424,1.008251,0.052543,1.000473
exponential,35,14000,0.017783,1.05,1.1,0.03793,1.044258,0.042797,1.022076
exponential,36,14400,0.015849,1.068,1.078,0.030894,1.000391,0.038624,1.001655
exponential,37,14800,0.014125,1.048,1.098,0.025164,1.000179,0.033115,1.000036
exponential,38,15200,0.012589,1.068,1.118,0.020496,1.0,0.031459,1.102716
exponential,39,15600,0.01122,1.076,1.076,0.016694,1.000045,0.025624,1.000024
exponential,40,16000,0.01,1.082,1.032,0.015859,1.005517,0.024343,1.000002
exponential,41,16400,0.01,1.104,1.074,0.013597,1.000113,0.021969,1.000005
exponential,42,16800,0.01,1.106,1.056,0.012272,1.000001,0.019827,1.010663
exponential,43,17200,0.01,1.04,1.08,0.011075,1.0,0.019827,1.00013
exponential,44,17600,0.01,1.094,1.074,0.011075,1.000118,0.017894,1.0
exponential,45,18000,0.01,1.142,1.052,0.009021,1.00083,0.014575,1.000081
exponential,46,18400,0.01,1.026,1.076,0.008141,1.0,0.014575,1.002556
exponential,47,18800,0.01,1.022,1.092,0.007347,1.0,0.013846,1.000254
exponential,48,19200,0.01,1.094,1.074,0.005985,1.001818,0.012496,1.049456
exponential,49,19600,0.01,1.106,1.046,0.005401,1.017052,0.011871,1.000001
